rt,coherent_direction,coherence,age,gender,resp_confidence,rt_confidence,sat_CB,direction,coherence_level,trial,phase,sub,coh,cor,cj
1.050270000007,0,0.2,20,V,-1,-1,accuracy,right,0.2,4,training_2,7627,0.2,1,-1
0.653560000006109,180,0.2,20,V,-1,-1,accuracy,left,0.2,5,training_2,7627,0.2,0,-1
1.82996500001173,0,0.2,20,V,-1,-1,accuracy,right,0.2,6,training_2,7627,0.2,0,-1
1.93763500000932,180,0.2,20,V,-1,-1,accuracy,left,0.2,7,training_2,7627,0.2,0,-1
1.17938499999582,0,0.2,20,V,-1,-1,accuracy,right,0.2,8,training_2,7627,0.2,1,-1
2.26266999999643,180,0.2,20,V,-1,-1,accuracy,left,0.2,9,training_2,7627,0.2,0,-1
2.47852000000421,0,0.2,20,V,-1,-1,accuracy,right,0.2,10,training_2,7627,0.2,1,-1
3.23604000001797,0,0.2,20,V,-1,-1,accuracy,right,0.2,11,training_2,7627,0.2,1,-1
2.02955000000657,180,0.2,20,V,-1,-1,accuracy,left,0.2,12,training_2,7627,0.2,0,-1
1.0582599999907,180,0.2,20,V,-1,-1,accuracy,left,0.2,13,training_2,7627,0.2,1,-1
0.986295000009704,0,0.2,20,V,-1,-1,accuracy,right,0.2,14,training_2,7627,0.2,0,-1
1.34402499999851,0,0.2,20,V,-1,-1,accuracy,right,0.2,15,training_2,7627,0.2,1,-1
0.851029999990715,0,0.2,20,V,-1,-1,accuracy,right,0.2,16,training_2,7627,0.2,1,-1
0.979634999996051,180,0.2,20,V,-1,-1,accuracy,left,0.2,17,training_2,7627,0.2,0,-1
1.83180000001448,180,0.2,20,V,-1,-1,accuracy,left,0.2,18,training_2,7627,0.2,0,-1
1.86844500000007,0,0.2,20,V,-1,-1,accuracy,right,0.2,19,training_2,7627,0.2,1,-1
0.86672499999986,180,0.2,20,V,-1,-1,accuracy,left,0.2,20,training_2,7627,0.2,1,-1
1.08052499999758,180,0.2,20,V,-1,-1,accuracy,left,0.2,21,training_2,7627,0.2,0,-1
1.0549099999771,0,0.2,20,V,-1,-1,accuracy,right,0.2,22,training_2,7627,0.2,1,-1
1.17600000000675,180,0.2,20,V,-1,-1,accuracy,left,0.2,23,training_2,7627,0.2,0,-1
1.40131499999552,0,0.2,20,V,-1,-1,accuracy,right,0.2,24,training_2,7627,0.2,0,-1
0.770275000017136,180,0.2,20,V,-1,-1,accuracy,left,0.2,1,training_2,7627,0.2,0,-1
3.23908499997924,0,0.2,20,V,-1,-1,accuracy,right,0.2,2,training_2,7627,0.2,1,-1
0.968350000010105,0,0.2,20,V,-1,-1,accuracy,right,0.2,3,training_2,7627,0.2,1,-1
0.816325000021607,0,0.2,20,V,-1,-1,accuracy,right,0.2,4,training_2,7627,0.2,0,-1
3.36181500001112,0,0.2,20,V,-1,-1,accuracy,right,0.2,5,training_2,7627,0.2,0,-1
1.71593500001472,0,0.2,20,V,-1,-1,accuracy,right,0.2,6,training_2,7627,0.2,1,-1
0.84773999999743,180,0.2,20,V,-1,-1,accuracy,left,0.2,7,training_2,7627,0.2,0,-1
3.07570499999565,180,0.2,20,V,-1,-1,accuracy,left,0.2,8,training_2,7627,0.2,0,-1
0.981744999997318,180,0.2,20,V,-1,-1,accuracy,left,0.2,9,training_2,7627,0.2,0,-1
1.05883500000346,180,0.2,20,V,-1,-1,accuracy,left,0.2,10,training_2,7627,0.2,0,-1
0.923570000013569,0,0.2,20,V,-1,-1,accuracy,right,0.2,11,training_2,7627,0.2,1,-1
2.44759999998496,180,0.2,20,V,-1,-1,accuracy,left,0.2,12,training_2,7627,0.2,0,-1
4.17152500001248,0,0.2,20,V,-1,-1,accuracy,right,0.2,13,training_2,7627,0.2,0,-1
2.96515000000363,180,0.2,20,V,-1,-1,accuracy,left,0.2,14,training_2,7627,0.2,0,-1
0.708564999978989,0,0.2,20,V,-1,-1,accuracy,right,0.2,15,training_2,7627,0.2,1,-1
0.716104999999516,0,0.2,20,V,-1,-1,accuracy,right,0.2,16,training_2,7627,0.2,1,-1
1.21120499999961,180,0.2,20,V,-1,-1,accuracy,left,0.2,17,training_2,7627,0.2,0,-1
1.75858500000322,0,0.2,20,V,-1,-1,accuracy,right,0.2,18,training_2,7627,0.2,1,-1
0.765849999996135,180,0.2,20,V,-1,-1,accuracy,left,0.2,19,training_2,7627,0.2,0,-1
0.89705500000855,0,0.2,20,V,-1,-1,accuracy,right,0.2,20,training_2,7627,0.2,1,-1
4.61356500000693,180,0.2,20,V,-1,-1,accuracy,left,0.2,21,training_2,7627,0.2,1,-1
1.12044999998761,180,0.2,20,V,-1,-1,accuracy,left,0.2,22,training_2,7627,0.2,0,-1
0.846499999985099,0,0.2,20,V,-1,-1,accuracy,right,0.2,23,training_2,7627,0.2,0,-1
1.26080499999807,180,0.2,20,V,-1,-1,accuracy,left,0.2,24,training_2,7627,0.2,1,-1
0.864399999991292,0,0.2,20,V,70,2484.84000001918,accuracy,right,0.2,1,training_3,7627,0.2,1,70
0.742584999999963,180,0.2,20,V,68,5126.40999999712,accuracy,left,0.2,2,training_3,7627,0.2,1,68
1.70068999999785,0,0.2,20,V,50,3730.66000000108,accuracy,right,0.2,3,training_3,7627,0.2,0,50
1.77584500002558,180,0.2,20,V,46,2446.79999997607,accuracy,left,0.2,4,training_3,7627,0.2,1,46
4.63709000000381,180,0.2,20,V,51,1869.16500001098,accuracy,left,0.2,5,training_3,7627,0.2,0,51
1.94410999998217,0,0.2,20,V,82,987.034999998286,accuracy,right,0.2,6,training_3,7627,0.2,1,82
2.18314000000828,0,0.2,20,V,42,1560.95499999356,accuracy,right,0.2,7,training_3,7627,0.2,1,42
2.23621000000276,0,0.2,20,V,66,1746.35000000126,accuracy,right,0.2,8,training_3,7627,0.2,0,66
0.849995000025956,180,0.2,20,V,65,827.640000003157,accuracy,left,0.2,9,training_3,7627,0.2,0,65
0.809225000004517,0,0.2,20,V,71,646.594999998342,accuracy,right,0.2,10,training_3,7627,0.2,0,71
3.73639999999432,180,0.2,20,V,50,1393.60000001034,accuracy,left,0.2,11,training_3,7627,0.2,0,50
1.06331999998656,180,0.2,20,V,71,873.585000023013,accuracy,left,0.2,12,training_3,7627,0.2,0,71
0.859435000020312,0,0.2,20,V,82,1061.79000000702,accuracy,right,0.2,13,training_3,7627,0.2,0,82
1.43095000000903,0,0.2,20,V,66,830.965000001015,accuracy,right,0.2,14,training_3,7627,0.2,0,66
3.34382999999798,180,0.2,20,V,50,1328.93999997759,accuracy,left,0.2,15,training_3,7627,0.2,0,50
