rt,coherent_direction,coherence,age,gender,resp_confidence,rt_confidence,condition,direction,coherence_level,trial,phase,sub,coh,cor,cj
1.25502000004053,0,0.2,22,M,4,0.891554999863729,,right,0.2,15,training_3,143,0.2,1,4
0.751034999964759,180,0.2,22,M,4,0.76361499982886,,left,0.2,16,training_3,143,0.2,1,4
1.24367500003427,0,0.2,22,M,4,0.455064999870956,,right,0.2,17,training_3,143,0.2,0,4
0.720955000026152,0,0.2,22,M,5,0.700074999826029,,right,0.2,18,training_3,143,0.2,1,5
0.856739999959245,0,0.2,22,M,5,0.55798999988474,,right,0.2,19,training_3,143,0.2,1,5
0.865985000040382,180,0.2,22,M,5,0.516850000014529,,left,0.2,20,training_3,143,0.2,0,5
1.14788000006229,0,0.2,22,M,4,0.59525499981828,,right,0.2,21,training_3,143,0.2,1,4
2.21218999987468,0,0.2,22,M,6,0.618819999974221,,right,0.2,22,training_3,143,0.2,1,6
0.761884999927133,180,0.2,22,M,4,0.578750000102445,,left,0.2,23,training_3,143,0.2,1,4
0.687314999988303,180,0.2,22,M,4,0.479634999996051,,left,0.2,24,training_3,143,0.2,0,4
0.628250000067055,0,0.2,22,M,4,0.930239999899641,speed,right,0.2,1,experimental,143,0.2,1,4
0.772159999934956,180,0.2,22,M,6,0.341814999934286,speed,left,0.2,2,experimental,143,0.2,1,6
0.847124999854714,0,0.2,22,M,6,0.483344999840483,speed,right,0.2,3,experimental,143,0.2,1,6
0.719909999985248,0,0.2,22,M,5,0.50404499983415,speed,right,0.2,4,experimental,143,0.2,0,5
0.759139999980107,0,0.2,22,M,6,0.342785000102594,speed,right,0.2,5,experimental,143,0.2,1,6
0.849954999983311,180,0.2,22,M,4,0.677050000056624,speed,left,0.2,6,experimental,143,0.2,1,4
0.576780000003055,180,0.2,22,M,5,0.390145000070333,speed,left,0.2,7,experimental,143,0.2,1,5
0.703580000204965,0,0.2,22,M,6,0.276524999877438,speed,right,0.2,8,experimental,143,0.2,1,6
0.714189999969676,180,0.2,22,M,4,0.662229999899864,speed,left,0.2,9,experimental,143,0.2,1,4
0.710590000031516,0,0.2,22,M,6,0.191494999919087,speed,right,0.2,10,experimental,143,0.2,1,6
0.860395000083372,180,0.2,22,M,4,0.25254000001587,speed,left,0.2,11,experimental,143,0.2,1,4
1.34997499990277,180,0.2,22,M,4,0.455995000200346,speed,left,0.2,12,experimental,143,0.2,1,4
1.07327000005171,180,0.2,22,M,6,0.458689999999478,speed,left,0.2,13,experimental,143,0.2,1,6
0.805244999937713,180,0.2,22,M,6,0.202159999869764,speed,left,0.2,14,experimental,143,0.2,0,6
1.19857000000775,0,0.2,22,M,6,0.270534999901429,speed,right,0.2,15,experimental,143,0.2,1,6
0.853839999996126,180,0.2,22,M,4,0.459924999857321,speed,left,0.2,16,experimental,143,0.2,1,4
0.722390000009909,0,0.2,22,M,6,0.309849999845028,speed,right,0.2,17,experimental,143,0.2,1,6
0.833145000040531,0,0.2,22,M,5,0.434184999903664,speed,right,0.2,18,experimental,143,0.2,1,5
1.26554500008933,180,0.2,22,M,6,0.348745000082999,speed,left,0.2,19,experimental,143,0.2,1,6
0.985610000090674,0,0.2,22,M,6,0.262325000017881,speed,right,0.2,20,experimental,143,0.2,1,6
2.07711499999277,0,0.2,22,M,6,0.201639999868348,speed,right,0.2,21,experimental,143,0.2,0,6
1.50802000006661,0,0.2,22,M,4,0.847780000185594,speed,right,0.2,22,experimental,143,0.2,1,4
1.10061999992467,180,0.2,22,M,4,0.410374999977648,speed,left,0.2,23,experimental,143,0.2,1,4
0.950315000023693,180,0.2,22,M,5,0.399310000007972,speed,left,0.2,24,experimental,143,0.2,0,5
1.38389000017196,180,0.2,22,M,6,0.286130000138655,speed,left,0.2,25,experimental,143,0.2,1,6
